DL1,DL2,DL3,DL4,PE1,PE2,PE3,PE4,AC1,AC2,AC3,AC4,PS1,PS2,PS3,PS4,TR1,TR2,TR3,TR4,WR1,WR2,WR3,WR4,GroundTruthFake,RawModelProbability,PlattProbability,SHUDDHOTAProbability
3.0,2.5,2.5,3.0,1.5,2.0,1.5,2.0,2.0,1.5,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.6992996963223341,0.7081877911598138,0.01
1.5,1.5,1.5,1.5,1.0,1.5,1.0,1.0,2.0,1.5,1.5,1.5,2.0,1.5,2.0,2.0,1.5,1.5,1.5,2.0,1.5,2.0,2.0,1.5,0,0.01,0.01,0.01
1.0,1.0,1.0,1.0,2.0,2.0,2.5,2.0,1.0,1.5,1.5,1.0,1.5,1.0,1.5,1.5,2.5,2.0,2.0,2.0,1.0,1.0,1.0,1.5,1,0.99,0.99,0.7826850053928298
2.0,2.5,2.0,2.0,1.0,1.0,1.0,1.5,2.5,2.5,2.5,2.5,2.0,2.5,2.5,2.0,2.5,2.5,2.5,2.5,1.5,2.0,1.5,1.5,0,0.01,0.01,0.01
1.0,1.0,1.0,1.0,3.0,2.5,3.0,2.5,2.0,1.5,2.0,1.5,1.5,1.5,2.0,1.5,2.0,2.0,2.0,2.0,2.0,1.5,1.5,2.0,1,0.9256824268413738,0.9384190280976771,0.916437752063854
2.0,2.0,2.0,1.5,1.0,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,2.5,2.5,2.5,2.5,1.5,1.0,1.5,1.0,1,0.44770993232589484,0.452321001175435,0.99
1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.5,2.0,1.5,2.0,1.5,1.5,1.5,1.5,2.0,1.0,1.0,1.5,1.5,1.5,1.5,2.0,1.5,0,0.10764566362306707,0.1064756399046592,0.22389763624414455
1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.5,1.0,1.5,1.5,2.0,2.0,2.0,1.5,1.0,1.0,1.0,1.0,2.0,2.5,2.5,2.0,0,0.01,0.01,0.14712187816828248
1.5,2.0,1.5,1.5,1.5,1.0,1.5,1.0,2.0,1.5,2.0,2.5,1.5,1.5,1.0,1.0,2.0,1.5,1.5,2.0,1.5,1.5,1.5,1.5,0,0.25364499206743907,0.2549569569325855,0.01
2.0,1.5,2.0,2.0,2.0,2.0,1.5,2.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.5,2.0,2.5,2.5,2.5,2.5,1,0.4959990828735402,0.5014310672823904,0.99
2.0,1.5,2.0,2.0,2.5,2.5,2.5,2.5,2.0,2.0,2.0,1.5,1.5,1.5,1.5,2.0,2.0,2.0,2.0,1.5,1.0,1.0,1.0,1.0,0,0.04230363257104183,0.04002279432474954,0.06767359648631643
1.5,1.5,1.5,1.5,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.5,2.0,1.5,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.5,2.0,1,0.8779696442276643,0.8898951281795345,0.7783090576924865
1.0,1.5,1.5,1.5,2.0,2.0,1.5,2.0,2.0,2.0,2.0,2.5,1.5,1.5,1.5,1.5,1.5,1.5,2.0,1.5,2.5,2.5,2.5,2.5,1,0.99,0.99,0.918543005120395
1.0,1.0,1.0,1.0,2.0,2.0,1.5,2.0,1.0,1.0,1.0,1.0,1.5,1.5,1.0,1.5,1.5,1.0,1.0,1.5,1.0,1.0,1.0,1.0,0,0.01,0.01,0.01
1.0,1.0,1.5,1.0,2.5,2.0,2.0,2.0,1.5,1.5,1.5,1.5,1.5,1.5,2.0,2.0,2.0,2.5,2.0,2.5,1.0,1.5,1.0,1.0,1,0.5736780470298758,0.5804305738293837,0.8685757473093985
1.0,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.5,1.5,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.5,2.0,2.0,2.0,2.0,0,0.01,0.01,0.01
2.0,2.0,2.5,2.0,1.0,1.0,1.0,1.0,1.5,1.5,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.5,1.5,1.5,1.0,0,0.2455605153760322,0.24673504413742472,0.01
2.0,1.5,1.5,2.0,2.5,2.5,2.0,1.5,2.5,2.5,2.5,2.5,1.5,1.5,1.0,1.0,1.5,1.5,1.5,2.0,2.0,2.0,2.0,2.0,1,0.99,0.99,0.8504828406272733
1.0,1.0,1.0,1.0,2.0,1.5,1.5,2.0,2.0,2.0,2.5,2.0,1.5,1.5,1.5,1.0,1.5,1.0,1.0,1.5,1.5,1.5,1.5,1.0,1,0.99,0.99,0.99
2.0,1.5,1.5,2.0,1.5,1.5,2.0,1.5,1.0,1.0,1.0,1.0,1.5,1.5,2.0,2.0,2.0,2.0,1.5,1.5,1.5,2.0,1.5,2.0,0,0.574442866037649,0.5812083947602891,0.01
1.5,1.0,1.5,1.5,2.0,1.5,2.0,1.5,2.5,2.0,2.0,2.0,3.0,2.5,2.5,3.0,2.5,2.5,2.0,2.0,2.0,2.0,2.0,2.0,1,0.5216045694449861,0.5274718471255508,0.99
1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.5,2.5,2.5,2.5,2.5,2.0,2.0,2.0,2.0,1.0,1.5,1.5,1.5,2.5,2.5,2.0,2.5,1,0.99,0.99,0.99
1.5,2.0,2.0,2.0,2.0,1.5,2.0,2.0,2.5,2.0,2.0,2.0,1.5,1.5,1.5,1.5,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,0.99,0.99,0.8157914728029294
2.5,2.0,2.5,2.0,1.5,2.0,2.0,1.5,1.0,1.0,1.0,1.0,2.0,1.5,1.5,1.5,1.5,2.0,1.5,1.5,2.0,2.0,2.0,1.5,1,0.45116932997233206,0.45583920858186167,0.8147564935910954
2.0,2.5,2.0,2.5,1.0,1.5,1.0,1.0,1.0,1.5,1.5,1.5,1.0,1.5,1.0,1.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2.0,0,0.042796580715910276,0.040524122588080747,0.01
1.0,1.5,1.0,1.0,2.5,2.5,3.0,2.5,2.5,2.5,2.5,2.0,2.0,1.0,1.5,1.5,2.0,1.5,1.5,1.0,1.5,1.5,1.5,1.5,1,0.99,0.99,0.7065105221770699
1.5,1.5,1.5,1.5,2.0,2.5,2.0,2.0,1.5,1.0,1.5,1.5,1.5,2.0,1.5,1.5,1.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0,0.01,0.01,0.01
2.0,1.5,1.5,2.0,1.0,1.5,1.0,1.0,2.0,2.0,1.5,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.5,1.5,2.0,1.5,2.0,2.0,1,0.99,0.99,0.99
2.0,2.5,2.5,2.5,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.5,1.0,1.0,1.0,1.5,1.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0,0.01,0.01,0.01
1.0,1.0,1.5,1.5,1.5,1.0,1.5,1.0,1.0,1.0,1.5,1.5,2.0,2.0,2.0,1.5,2.5,2.5,2.5,2.5,1.5,2.0,2.0,1.5,1,0.99,0.99,0.8123048494000457
1.5,1.5,1.0,2.0,1.5,2.5,2.0,2.0,1.5,1.5,1.5,1.5,2.5,2.5,2.5,2.5,2.0,1.5,2.0,2.0,2.5,2.5,2.5,2.5,1,0.99,0.99,0.99
1.0,1.5,1.5,1.0,2.5,2.0,2.5,2.5,1.0,1.0,1.0,1.0,1.5,1.5,1.5,1.5,1.5,1.0,1.5,1.5,2.5,2.5,2.0,2.0,0,0.07817095160609064,0.07649985778339417,0.01
1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.5,2.0,2.0,2.0,1.5,2.0,1.5,2.0,1.5,1.5,1.5,1.5,0,0.01,0.01,0.10558986114440926
2.0,2.5,2.0,2.0,2.0,2.5,2.0,2.5,1.5,1.5,1.5,1.5,2.5,2.0,2.0,2.5,2.0,1.5,2.0,1.5,2.5,2.5,2.5,2.5,0,0.01,0.01,0.01
2.5,2.0,2.5,2.5,1.5,2.5,1.5,2.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.0,2.0,2.0,2.0,1.5,1.0,1.5,1.5,1.5,0,0.05599252652225653,0.05394439947313488,0.14744050616111487
1.5,1.5,1.5,1.5,2.0,2.5,2.0,2.0,3.0,2.5,2.0,3.0,2.0,1.5,1.5,1.5,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0,0.01,0.01,0.07123276131799545
2.5,2.5,2.0,2.5,2.5,2.5,2.5,2.5,1.0,1.0,1.0,1.0,2.0,1.5,1.5,1.5,2.5,2.0,2.0,2.5,1.0,1.5,1.0,1.0,1,0.9244568480458046,0.9371726144625833,0.8435106306199209
1.5,1.5,2.0,2.0,1.5,1.5,1.5,1.5,1.0,1.0,1.5,1.5,1.5,1.5,2.0,1.5,1.5,1.5,1.5,1.5,1.0,1.0,1.0,1.0,1,0.9547254406618616,0.9679557731531132,0.7890669885510659
1.5,1.5,1.5,1.0,1.5,1.5,1.5,1.0,2.0,1.5,2.0,2.0,1.0,1.5,1.5,1.5,1.5,2.0,1.5,1.5,1.5,1.5,2.0,1.5,0,0.01,0.01,0.01
2.0,2.0,2.0,2.0,1.0,1.5,1.5,1.0,2.5,2.5,2.5,2.5,1.5,2.0,2.0,2.0,1.5,1.5,2.0,1.5,1.5,1.5,1.5,1.5,1,0.99,0.99,0.99
2.0,2.5,2.5,2.5,1.5,1.5,1.5,1.5,1.0,1.0,1.0,1.0,2.0,1.5,2.0,2.0,1.0,1.0,1.0,1.0,2.5,2.5,2.5,2.5,0,0.01,0.01,0.2672299442525486
1.5,1.5,1.5,2.0,1.5,1.5,1.5,1.5,2.0,2.5,2.0,2.0,2.5,2.5,2.5,2.5,1.0,1.0,1.0,1.0,2.0,2.0,1.5,1.5,0,0.01,0.01,0.01
2.5,2.5,2.5,2.5,1.5,2.0,2.0,1.5,1.5,1.5,1.5,1.5,2.5,2.0,2.0,2.0,2.5,2.5,2.0,2.5,1.5,1.5,1.5,2.0,1,0.99,0.99,0.8699772384763209
1.0,1.0,1.0,1.0,2.0,1.5,2.0,2.0,1.0,1.0,1.5,1.0,3.0,2.5,2.5,2.5,2.5,2.5,2.5,3.0,2.0,2.0,2.0,2.5,0,0.01,0.01,0.01
2.0,2.0,2.5,1.5,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.5,1.5,1.0,1.0,1.5,1.5,2.0,2.0,1.5,1.0,1.0,1.0,1.0,0,0.01,0.01,0.01
1.5,1.5,1.5,1.5,1.5,1.5,2.0,1.5,1.5,1.5,2.0,1.5,2.0,2.5,2.5,2.0,2.5,2.0,2.0,2.5,2.0,2.0,1.5,2.0,1,0.99,0.99,0.9778426201876881
2.0,1.5,1.5,1.0,2.5,2.5,2.5,2.5,1.5,1.5,1.5,1.5,1.5,2.0,2.0,2.0,2.0,1.5,2.5,2.0,2.0,2.0,2.0,2.0,0,0.01,0.01,0.01
2.0,1.5,1.5,1.5,2.0,1.5,1.5,1.5,1.5,1.5,2.0,1.5,2.0,2.5,2.5,3.0,2.5,2.5,2.0,2.5,1.0,1.0,1.0,1.0,0,0.20585186071525616,0.20635134234741548,0.01
1.0,1.0,1.0,1.0,2.5,2.5,2.5,3.0,1.5,1.5,1.5,1.5,1.0,1.5,1.0,1.0,2.5,2.5,2.5,3.0,2.5,2.5,2.5,2.5,1,0.6196716650306078,0.627206083336128,0.99
1.5,1.5,2.0,1.5,2.0,2.0,2.0,2.0,2.0,1.5,2.0,1.5,1.5,1.0,1.0,1.0,1.5,1.5,1.5,2.0,2.0,2.0,1.5,2.0,1,0.9725248916680341,0.9860578148263907,0.7335065669552087
1.5,1.5,1.5,2.0,1.0,1.5,1.0,1.0,2.0,2.0,2.0,2.0,1.5,1.0,1.5,1.0,1.0,1.0,1.5,1.5,1.5,1.5,1.0,2.0,1,0.6659789107826809,0.6743005522659864,0.99
2.5,2.5,2.5,2.0,1.0,1.5,1.5,1.5,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,2.0,2.0,2.0,2.0,1,0.99,0.99,0.99
1.5,1.5,1.5,1.5,2.5,1.5,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.5,1.5,2.0,2.0,2.0,2.5,2.5,2.5,2.5,0,0.01,0.01,0.08053843352758379
1.0,1.5,1.5,1.0,1.5,1.5,1.5,1.5,2.5,2.5,2.5,2.5,1.0,1.5,1.0,1.0,1.5,1.5,1.5,1.5,2.0,1.5,1.5,1.5,0,0.01,0.01,0.01
1.5,1.5,1.5,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.5,2.0,1.0,1.0,1.5,1.0,2.0,2.0,2.0,1.5,1,0.9807049639244467,0.99,0.938428282117531
2.0,2.5,2.0,2.5,2.0,1.5,1.5,2.0,1.5,1.5,1.5,1.5,1.5,2.0,1.5,1.5,1.5,1.5,1.5,1.0,1.5,1.5,1.5,1.5,0,0.07724512962074145,0.07555829682429405,0.01
1.5,2.0,1.5,2.0,1.5,1.5,2.0,2.0,1.5,2.0,2.0,2.0,2.5,2.5,2.5,2.5,1.0,1.0,1.5,1.0,1.0,1.0,1.5,1.5,1,0.7034878158654632,0.7124471087351759,0.6573286927553308
1.5,1.5,1.5,1.5,1.0,1.5,1.0,1.5,1.5,1.5,2.0,2.0,2.0,2.0,2.0,2.0,2.5,2.5,2.5,2.5,2.5,2.0,2.0,2.0,1,0.7093015209747118,0.7183596468312818,0.99
2.0,1.5,2.0,2.0,1.0,1.0,1.0,1.0,1.5,1.5,1.0,1.5,1.5,1.5,1.5,1.5,2.5,2.5,2.0,2.5,1.5,1.5,1.5,2.0,1,0.99,0.99,0.9499249902449556
1.5,2.0,2.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.0,1.0,1.5,1.0,1.0,2.0,1.5,2.0,2.0,1.5,2.0,2.0,2.0,0,0.49563830612532866,0.5010641573294592,0.01
2.5,2.0,2.5,1.5,2.0,2.0,2.5,2.0,2.0,1.0,1.5,1.5,2.0,2.0,2.0,2.0,2.5,2.5,2.5,2.5,1.5,1.5,1.0,1.5,0,0.08300689324950677,0.08141801043474838,0.0696720622506004
1.0,1.5,1.5,1.0,2.0,1.5,2.0,2.0,1.0,1.5,1.5,1.5,1.0,1.0,1.0,1.5,2.0,1.5,2.0,2.0,2.0,2.0,2.0,2.0,1,0.6967921434940734,0.7056376099334726,0.8557426945943566
1.5,1.0,1.5,1.5,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.5,2.5,2.5,2.0,1.0,1.0,1.5,1.5,2.0,1.5,2.0,2.0,1,0.99,0.99,0.9859261053147417
1.5,1.0,1.5,1.0,2.0,1.5,2.0,1.5,2.0,1.5,2.0,2.0,2.5,2.5,2.5,2.5,2.5,2.5,2.0,2.5,2.5,2.5,2.5,2.0,1,0.9032813511048586,0.9156371340736411,0.99
1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.5,1.0,1.5,1.0,1.5,1.5,1.5,1.5,2.0,2.0,2.5,1.5,2.0,1.5,2.5,1.5,1,0.99,0.99,0.99
2.0,2.0,2.0,2.0,1.5,1.0,1.5,1.0,2.5,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,2.0,1.5,1.0,1.5,1,0.99,0.99,0.99
1.5,2.0,2.0,2.0,1.5,2.0,1.5,1.5,2.0,2.0,1.5,1.5,2.5,2.0,2.0,2.5,2.0,1.5,1.5,2.0,1.0,1.0,1.5,1.0,1,0.99,0.99,0.7945029755871116
2.0,1.5,2.0,1.5,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1,0.6980603937930863,0.7069274204875686,0.6647661117329495
1.5,1.5,1.5,1.5,1.0,1.5,1.0,1.0,2.0,2.0,2.0,2.0,2.5,2.0,2.5,2.5,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1,0.99,0.99,0.913277093915819
